id,isb_number,song_title,song_code,album,year,lyricist,composer,singer,musicians,picturized_on,category,transcribed_by,created_at,lyrics_text,film_imdb_id,film_wikidata_id,lyricist_imdb_ids,composer_imdb_ids,singer_imdb_ids,picturized_on_imdb_ids
93,13593,bach ke jaane na duu.Ngii diladaar terii merii laagii sarat,,Prince,1969,Farooq Kaisar,Shankar-Jaikishan,"Rafi, Lata",,"Shammi Kapoor, Vyjayanthimala",,BOL ANAMOL #11118 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
la \:	bach ke jaane na duu.Ngii diladaar terii merii laagii sarat \-2
ra \:	( khaalii jaa_e.Nge ) \-2 naino.n ke baan terii merii laagii sarat \-2
la \:	bach ke jaane na \threedots

	chaa.Nd se mukh pe bi.ndiyaa chamakane lagii \-2
	laal ho.nTho.n kii agni bha.Dakane lagii
	ruup aisaa kisii ne na dekhaa kahii.n \-2
	har qadam pe javaanii chhalakane lagii \-2
	( maar Daalegaa ) \-2 solah si.ngaar
	terii merii laagii sarat
	bach ke jaane na \threedots

ra \:	tere piichhe hai jag mere piichhe hai tuu
	har qadam pe meraa haath khii.nche hai \-2
	log jal\-jal ke dekhe hai.n merii taraf \-2
	merii baa.Nho.n me.n jab aa.Nkh mii.nche hai tuu \-2
	( ba.Daa a.Diyal hai ) \-2 manavaa hamaar 
	terii merii laagii sarat
la \:	bach ke jaane na \threedots

	mujhako naino.n me.n ko_ii chhupaa_e nahii.n \-2
	siidhaa\-saadaa mujhe pyaar bhaa_e nahii.n
	sach kahuu.Ngii piyaa chaahe laage buraa \-2
	tujhako chhe.De binaa chain aa_e nahii.n \-2
	( tiikhii batiyo.n se ) \-2 ba.Dhataa hai pyaar
	terii merii laagii sarat
	bach ke jaane na \threedots
%",,,,,,
94,14251,suquun dil ko mayassar gul\-o\-samar me.n nahii.n,,Street Singer,1938,Aarzoo Lakhnawi,Rai Chand Boral,"Saigal/ Kanan Devi, Saigal",,"K L Saigal, Kanan Devi, Jagdish, Vikram Kapoor, Subeer, Rekha",,BOL ANAMOL #10012 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
suquun dil ko mayassar gul\-o\-samar me.n nahii.n
jo aashiyaa.N me.n hai apane vah baaG bhar me.n nahii.n

jahaa.N hai raah\-e\-guzar kah rahii hai chalatii saa.Ns
suquun kii aur ummiid umar bhar bhii nahii.n

na aasaraa ho jise duusaro.n kaa e hamadam
vah aisaa dil hai ki jaise chiraaG ghar me.n nahii.n

paraa_e duHkh ko duHkh apanaa samajh le aur de saath
bashar nahii.n jo yah baat aarazuu bashar me.n nahii.n
%",,,,,,
95,20606,kabhii ruk gaye to,,Rahgir,1968,Gulzar,Hemant,Hemant,,"Biswajeet, Sandhya Roy",,Prithviraj Dasgupta,2024-12-06T23:25:26.470358+00:00,"%
kabhii ruk gaye hai.n kabhii chal diye
na jaane kise Dhuu.NDate hai.n safar me
kise kho diyaa thaa na jaane Dagar me
na jaane kise Dhuu.NDate hai.n safar me

akele rahe.n zi.ndagii bhar akele
na dil saath aayaa na Gam saath aaye
yahii raaste.n jinakii ma.nzil nahii.n thii
yahii saath the bas yahii saath aaye
kabhii ruk gaye hai.n \threedots

kabhii maa.Ng kar le liye Gam kisii kii
kabhii apane Gam kar diye hai.n paraaye
ye bedard yaade.n ye hamdard aa.Nsuu
ba.Dii duur tak chho.Dane saath aaye
kabhii ruk gaye hai.n \threedots

kinaaraa milaa jo kinaaraa nahii.n thaa
bahaanaa thaa ko_ii sahaaraa nahii.n thaa
yahii ek dil jisako samajhe the apanaa
na jaane thaa kisakaa hamaaraa nahii.n thaa


%",,,,,,
96,11477,vaqt kaa saayaa kisane Taalaa hai,,Filhaal,2002,Gulzar,Annu Malik,"Sonu Nigam, Jaspindar Narula",,"Tabu, Sushmita Sen, Sanjay Suri, Palash Sen",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
vaqt kaa saayaa kisane Taalaa hai
ho rahegaa jo hone vaalaa hai
vaqt kaa saayaa \threedots

din to ye bhii guzar jaa_egaa par ye lamhaa guzarataa nahii.n
aag hii aag hii aag hai phir kyuu.N suuraj pighalataa nahii.n
daag dhone se jaate nahii.n dard rone se ghaTataa nahii.n
vaqt kaa saayaa \threedots

nii.nd me.n saa.ns lete to hai.n khvaab jaage to mar jaate hai.n
bebasii hai ba.Dii bebasii apane saa_e se Dar jaate hai.n
kaun kisase shikaayat kare jo likhaa hai vo miTataa nahii.n
vaqt kaa saayaa \threedots
%",,,,,,
97,1436,phir vahii raat hai,,Ghar,1978,Gulzar,R D Burman,Kishore,,"Rekha, Vinod Mehra ?",,Ashish Bokil,2024-12-06T23:25:26.470358+00:00,"%
phir vahI raat hai \threedots 
##hmmmm hmm hmmm ##

phir vahI raat hai, phir vahI raat hai khvAb kI 
ho \threedots raat bhar khvAb mai.n 
dekhaa kare.nge tumhe 
phir vahI raat hai \threedots 

mAsUm sI nI.nd mai.n, jab koI sapanA chale 
ho \threedots ham ko bulaa lenaa tum, palako.n ke parde tale 
ho ye raat hai khvAb kI, khvAb kI raat hai 
phir vahI raat hai\threedots 
phir vahI raat hai 
phir vahI raat hai khvAb kI 

kA.Nch ke khvAb hai.n, A.Nkho.n me.n chubh jAye.nge 
ho \threedots palako.n pe lenaa inhe.n, A.Nkho.n me.n ruk jAye.nge 
ho \threedots ye raat hai khvAb kI, khvAb kI raat hai 
phir vahI raat hai\threedots, phir vahI raat hai 
phir vahI raat hai khvAb kI 

phir vahI raat hai \threedots 
##hmmmm hmmmmm hmmmmm ##\threedots
raat hai \threedots ##hmmmm hmmm hmmmm ##\threedots
raat hai\threedots 
%",,,,,,
98,3256,aa_ii hai.n bahaare.n miTe zulm\-o\-sitam,,Raam Aur Shyam,1968,Shakeel,Naushad,Rafi,,"Dilip Kumar, Waheeda Rahman, Mumtaaz",,U.V. Ravindra,2024-12-06T23:25:26.470358+00:00,"%
(rafii: aa_ii hai.n bahaare.n miTe zulm\-o\-sitam
       pyaar kaa zamaanaa aayaa duur hue Gam
       raam kii lilaa ra.ng laa_ii
koras: a\-haa haa
rafii: shaam ne ba.nsii bajaa_ii
koras: a\-haa haa\-haa                           ) \-2

rafii: chamakaa hai inasaaf kaa suuraj phailaa hai ujaalaa
koras: ujaalaa,
       chamakaa hai inasaaf kaa suuraj phailaa hai ujaalaa
rafii: na_ii uma.nge.n sa.ng laayegaa har din aanevaalaa
koras: aanevaalaa,
       na_ii uma.nge.n sa.ng laayegaa har din aanevaalaa
rafii: ho ho
       munnaa giit sunaayegaa
       Tunnaa Dhol bajaayegaa
koras: munnaa giit sunaayegaa, Tunna Dhol bajaayegaa
rafii: sa.ng\-sa.ng merii chhoTii munnii naachegii chham\-chham

rafii + koras:
       aa_ii hai.n bahaare.n miTe zulm\-o\-sitam
       pyaar kaa zamaanaa aaya duur hue Gam
       raam kii liilaa ra.ng laa_ii
koras: a\-haa haa
rafii: shaam ne ba.nsii bajaa_ii
koras: a\-haa haa\-haa

rafii: ab na ho.nge majabuurii ke is ghar me.n afasaane
koras: ab naa ho.nge majabuurii ke is ghar me.n afasaane
rafii: pyaar ke ra.ng me.n ra.ng jaaye.nge sab apane begaane
koras: pyaar ke ra.ng me.n ra.ng jaaye.nge sab apane begaane
rafii: ho ho ho
       sab ke din phir jaaye.nge
       ma.nzil apanii paaye.nge
       jiivan ke taraane milake gaaye.nge haradam
rafii + koras + #male# koras:
       ho
       aa_ii hai.n bahaare.n miTe zulm\-o\-sitam
       pyaar kaa zamaanaa aaya duur hue Gam
rafii + #male# koras:
       raam kii liilaa ra.ng laa_ii
koras: a\-haa haa
rafii + #male# koras:
       shaam ne ba.nsii bajaa_ii
koras: a\-haa haa\-haa
%
%
rafii + koras + #m# koras:
       aa\-aa
       aa\-aa
%",,,,,,
99,13217,zindagii me.n jiite jiite maranaa zaruur thaa,,Naagmani,1991,Santosh Anand,Annu Malik,"Kumar Sanu, Anuradha",,"Sumeet Saigal, Shikha Swarup, Kiran Kumar, Aruna Irani, Aloknath",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
zindagii me.n jiite jiite maranaa zaruur thaa
tum mil ga_e ho ho ho ho
tum mil ga_e ho pyaar karanaa zaruur thaa

ye sabakaa hai Kyaal hai umr kaa savaal
is jism se tum hii kaho dil kaise de.n nikaal
haalaat ke tuufaa.n se guzaranaa zaruur thaa
tum mil ga_e ho \threedots

duniyaa badal ga_ii har chiiz mil ga_ii
lagataa hai har Kushii merii qismat me.n Dhal ga_ii
mujhako tumhaare dil me.n utaranaa zaruur thaa
tum mil ga_e ho \threedots
%",,,,,,
100,rmim0589,avadhuutaa yugan yugan ham yogii,,Triveni Bhajans (Non-Film),1970s?,Kabir,Kumar Gandharva,"Kumar Gandharva, Vasundhara Komkali",,,,,2024-12-06T23:25:26.470358+00:00,"%
avadhuutaa, yugan yugan ham yogii
aavainaa jaay miTainaa kabahuu.n, sabad anaahat bhogii

sabhii Thaur jamaat hamarii, sab hii Thaur par melaa
ham sab me.n, sab hai.n hamamaa.n, ham hai bahurii akelaa

ham hii siddha, samaadhi ham hii, ham maunii ham bole
ruup saruup aruup dikhaake, ham hii me.n ham to khele.n

kahe kabiiraa jo, suno bhaaii saadho, naahii\-na\-koii ichchhaa
apanii ma.Dhii me.n aap mai.n Doluu.n, sahaj swa_ichchhaa
%",,,,,,
101,10005,kaisaa jaaduu balam tuune Daaraa,,12 O 'Clock/ Twelve O 'Clock,1958,Majrooh,O P Nayyar,Geeta,,"Guru Dutt, Waheeda Rahman, Shashikala, Rahman, Johny Walker,  Helen, Tuntun",,BOL ANAMOL #12195 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
kaisaa jaaduu balam tuune Daaraa
ho kaisaa jaaduu balam tuune Daaraa
kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu balam tuune Daaraa
kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu

( ko_ii terii tarah dil na chhiine
ho ga_ii mai.n pasiine\-pasiine ) \-2
tobaa\-tobaa \-2
tobaa\-tobaa nazar kaa ishaaraa

kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu balam tuune Daaraa
kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu

( Dagamagaaye qadam chalate\-chalate
tumane chhe.Daa to ham kyaa sambhalate ) \-2
lo chale \-2
lo chale naam le kar tumhaaraa

kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu balam tuune Daaraa
kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu

( hosh bhii tho.Daa\-tho.Daa nashaa bhii
dard bhii tho.Daa\-tho.Daa mazaa bhii ) \-2
tiir sai.nyaa.N \-2
tiir sai.nyaa.N ajab tuune maaraa

kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu balam tuune Daaraa
kho gayaa nanhaa saa dil hamaaraa
kaisaa jaaduu
%",,,,,,
102,14329,aaj ko_ii hai aanewaala,,Shair,1949,Shakeel,Gulam Mohammed,Suraiya,,"Suraiya, Kamini Kaushal, Dev Anand, Agha, Sulochana",,"BOL ANAMOL #12601 [V S Rawat], 10/02/2004",2024-12-06T23:25:26.470358+00:00,"%
aaj ko_ii hai aanewaala \-2
ho aanewaala
kaun
ye kyuu.N batalaa_uu.N ho ho ye kyuu.N batalaa_uu.N \-2
aaj ko_ii hai aanewaala

jiiwan gaa re dil ye pukaare
piyaa\-piyaa ho piyaa\-piyaa
piyaa\-piyaa ho piyaa\-piyaa
jiiwan gaa re dil ye pukaare
piyaa\-piyaa ho piyaa\-piyaa
( sudh\-budh haare laaj ke maare
moraa jiyaa ho moraa jiyaa ) \-2
ho kaagaa bole
kaagaa bole mere dwaar
mai.n dekh\-dekh muskaa_uu.N ho

aaj ko_ii hai aanewaala
ho aanewaala
kaun
ye kyuu.N batalaa_uu.N ho ho ye kyuu.N batalaa_uu.N \-2
aaj ko_ii hai aanewaala

( o aaj kisii kii aas lagii hai
machal rahaa hai Kushii se dil
machal rahaa hai Kushii se dil ) \-2
( man meraa Dole aur ye bole
piyaa se mil ho piyaa se mil ) \-2
ho duniyaa naache
duniyaa naache sa.ng\-sa.ng
mai.n jhuum\-jhuum ke gaa_uu.N ho

aaj ko_ii hai aanewaala
ho aanewaala
kaun
ye kyuu.N batalaa_uu.N ho ho ye kyuu.N batalaa_uu.N \-2
aaj ko_ii hai aanewaala
%",,,,,,
103,21274,sajaNaa jii vaarii vaarii,,Honeymoon Travels Pvt. Ltd.,2007,Javed Akhtar,Vishal-Shekhar,Sunidhi Chauhan,,,,jaydutt shukla,2024-12-06T23:25:26.470358+00:00,"%
(sajaNaa jii vaarii vaarii jaauu.N jii mai.n - 2
tuu hii to meraa sa.nsaar hai
aisaa meraa pyaar hai - 2) - 2
charaNo.n me.n jo naa jagah paauu.N jii mai.n - 2
to meraa jiinaa hii bekaar hai
aisaa meraa pyaar hai - 2

meraa maan hai tuu
abhimaan hai tuu
merii puujaa hai tuu
meraa dhyaan hai tuu
tuu devataa mai.n pujaaran
sajaNaa tujhape mai.n arpaN
tere guNagaan hii to gaauu.N jii mai.n
haa.N tere guNagaan hii to gaauu.N jii mai.n
tuu hii to meraa sa.nsaar hai
aisaa meraa pyaar hai - 2
sajaNaa jii vaarii vaarii jaauu.N jii mai.n - 2
tuu hii to meraa sa.nsaar hai
aisaa meraa pyaar hai - 2

o merii dha.Dakan me.n tuu
mere tan-man me.n tuu
merii saa.Nso.n me.n tuu
mere nainan me.n tuu
tuu hai to chamake kajaraa
tuu hai to mahake gajaraa
tere binaa to na jiine paauu.N jii mai.n
haa.N tere binaa to naa jeene paauu.N jii mai.n
tuu hii to meraa sa.nsaar hai
aisaa meraa pyaar hai - 2
sajaNaa jii vaarii vaarii jaauu.N jii mai.n - 2
tuu hii to meraa sa.nsaar hai
aisaa meraa pyaar hai - 2
charaNo.n me.n jo naa jagah paauu.N jii mai.n - 2
to meraa jiinaa hii bekaar hai
aisaa meraa pyaar hai - 2
%",,,,,,
104,907,"jummaa chummaa de de, jummaa chummaa de de chummaa",,Hum,,Anand Bakshi,Laxmikant-Pyarelal,Amitabh,,"Amitabh, Kimi",,,2024-12-06T23:25:26.470358+00:00,"%
jummaa, jummaa, jummaa, jummaa, jummaa
jummaa, jummaa jummaa jummaa jummaa jummaa jummaa

are o jummaa, merii jaaneman, baahar nikal
aaj jummaa hai, aaj kaa vaadaa hai
dekh mai.n aa gayaa, tuu bhii jaldii aa
mujhe mat aur ta.Dapaa

are tuu bolii thii pichhale jumme ko
chummaa duu.ngii agale jumme ko
aaj jummaa hai to aajaa aajaa 
jummaa chummaa de de,  jummaa chummaa de de chummaa
jumme ke din kiyaa chumme kaa vaadaa
jumme ko to.D diyaa chumme kaa vaadaa
le aa gayaa re phir jummaa\-chummaa \threedots

jumme ke badale me.n, kyaa doge bolo to
lenaa kyaa, denaa kyaa, lenaa kyaa, denaa kyaa
lenaa kyaa lenaa kyaa, chummaa do \threedots

mai.n kuchh na duu.ngaa isase zyaadaa chummaa
chummaa de de,  jummaa chummaa de de chummaa	\threedots
kar to na chumme javar jummaa
chummaa na de,  jummaa chummaa na de chummaa
jummaa chummaa de de,  jummaa chummaa de de chummaa

mai.n teraa jii bhar duu.N sochaa thaa haa.N kar duu.N
phir kaahe phir kaahe naa kar dii,  naa kar dii
phir kaahe naa kar dii
mai.n sad ke jaan kar duu.N
mai.n ne badal diyaa iraadaa jummaa
chummaa na de,  jummaa chummaa naa de chummaa \threedots
%",,,,,,
105,2624,koii aayaa dha.Dakan kahatii hai,,Lajwanti,1958,Majrooh,S D Burman,Asha,,"Nargis, Balraj Sahni",,Srinivas Ganti,2024-12-06T23:25:26.470358+00:00,"%
 
koii aayaa dha.Dakan kahatii hai/-3
dhiire se palako.n kii ye giratii uThatii chilaman kahatii hai
dhiire se
dhiire se palako.n kii ye giratii uThatii chilaman kahatii hai
koii aayaa dha.Dakan kahatii hai
 
hone lagii kisii aahaT kii phulakaariyaa.N
paravaane banake u.Dii dil kii chingaariyaa.N
jhuum gayaa jhilamilataa jiyaa
koii aayaa
koii aayaa dha.Dakan kahatii hai   \threedots
 
chaa.Nd ha.Nsaa leke darpaN mere saamane
ghabaraake mai.n laT ulajhii lagii thaamane
chhe.D gayii mujhe cha.nchal havaa
koii aayaa
koii aayaa dha.Dakan kahatii hai   \threedots
 
aa hii gayaa miiThii miiThii sii uljhan liye
kho hii gayii mai.n to sharamaatii chitavan liye
gore badan se pasiinaa bahaa
koii aayaa
koii aayaa dha.Dakan kahatii hai   \threedots

%",,,,,,
106,12665,mai.n piichhe piichhe aa_uu.ngaa ... chaak chikii dum dum,,Lo Main Aa Gayaa,1998,"Anand Raj Anand, Dev Kohli, Rajesh Malik",Anand Raj Anand,"Abhijit, Kavita Subramaniam",,"Vinay Anand, Nandini Singh",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
mai.n piichhe piichhe aa_uu.ngaa ruuThii ho tumhe.n manaa_uu.ngaa
ab maan bhii jaa_o kyuu.n ruuThii ho tum
mai.n zahar kahii.n se laa_uu.ngaa terii kasam use khaa jaa_uu.ngaa
sach kahataa huu.n phir haath malogii tum
mai.n naa maanuu.ngii naa maanuu.ngii jo kar lo tum
chaak chikii dum dum chaak chikii dum

ai he nahii.n dekhii nahii.n dekhii maine tere jaisii la.Dakii
ek jhalak me.n khol dii jisane mere dil kii khi.Dakii
naa dekhii hai naa dekhoge mere jaisii la.Dakii
isiili_e to dekh ke mujhako terii tabiyat fa.Dakii
ab mai.n karataa huu.N kyaa jaaduu ye bhii dekho tum
chaak chikii dum dum \threedots

chal piichhe haT haT chal piichhe haT haT
chhoTaa bachchaa jaan ke isako naa Thukaraanaa re
akal kaa kachchaa samajh ke isako naa bahakaanaa re
are merii to naa maanii bachcho.n kii to maano tum
chaak chikii dum dum \threedots

uuhuu.n khatm karogii jaan\-e\-jaanaa.n kab tum ye takaraar
ek shart hai pahale mujhase maan lo apanii haar
tuu kah le jo kahanaa hai par kar le mujhase pyaar
isake li_e to karanaa hogaa tumako i.ntazaar
i.ntazaar kar luu.ngaa pahale haa.n to kar do tum
chaak chikii dum dum \threedots

achchhaa baabaa maan ga_ii haar
he he he he
lagataa hai maan ga_ii
%",,,,,,
107,13207,barasaat ke mausam me.n ... abii zindaa huu.N to ... pii lene do,,Naajaayaz,1995,Indivar,Annu Malik,Kumar Sanu,,"Naseeruddin, Juhi, Ajay Devgan, Deepak Tijori, Reema Lagu, Ashish Vidyarthi",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
barasaat ke mausam me.n tanhaa_ii ke aalam me.n \-2
mai.n ghar se nikal aayaa botal bhii uThaa laayaa
abii zindaa huu.N to ( jii lene do ) \-2
bharii barasaat me.n pii lene do \-2

( mujhe Tuka.Do.n me.n nahii.n jiinaa hai
qataraa qataraa to nahii.n piinaa hai ) \-2
ho aaj paimaane haTaa do yaaro.n
haa.N saaraa maiKaanaa pilaa do yaaro.n
maikado.n me.n to piyaa karataa huu.N \-2
chalatii raaho.n me.n to pii lene do
abii zindaa huu.N to \threedots

( mere dushman hai.n zamaane ke Gam
baad piine ke ye ho.nge kam ) \-2
ho zulm duniyaa ke na sah paa_uu.Ngaa
bin pi_e aaj na rah paa_uu.Ngaa
mujhe haalaat se Takaraanaa hai \-2
aise haalaat me.n pii lene do
abii zindaa huu.N to \threedots
%",,,,,,
108,3246,zaraa chehare se kamalii haTaa do yaa rasuulallaah,,,,,,"Jagjit singh, Chitra Singh",,,,Irfan Moinuddin,2024-12-06T23:25:26.470358+00:00,"%

zaraa chehare se kamalii haTaa do yaa rasuulallaah
hame.n bhii apanaa diivaanaa banaa do yaa rasuulallaah
zaraa chehare se kamalii haTaa do yaa rasuulallaah

muhabbat Gair se merii chu.Daa do yaa rasuulallaah
meri soyi hui qisamat jagaa do ya rasuulallah
zaraa chehare se kamalii haTaa do yaa rasuulallaah

badii qisamat hamaarii hai ke ummat me.n tumhaarii hai
bharosaa diin\-o\-duniyaa me.n tumhaaraa yaa rasuulallaah
zaraa chehare se kamalii haTaa do yaa rasuulallaah

a.Ndherii qabr me.n mujh ko akelaa cho.D jaaye.nge
vahaa.N ho fazl se tere ujaalaa yaa rasuulallaah
zaraa chehare se kamalii haTaa do yaa rasuulallaah

Kudaa mujh ko madiine me.n jo pahu.Nchaaye to behatar hai
ke roze par hii de duu.N jaa.N jaa kar yaa rasuulallaah
zaraa chehare se kamalii haTaa do yaa rasuulallaah

%",,,,,,
109,14241,bahaaro.n ne jise chhe.Daa hai vo saaj\-e\-javaanii hai,,Sunehre Din,1949,Shevan Rizvi,Gyan Dutt,Mukesh,,"Raj Kapoor, Rehana,  Nigar, Harun, Heera Sawant",,BOL ANAMOL #10205 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
bahaaro.n ne jise chhe.Daa hai vo saaj\-e\-javaanii hai
zamaanaa sun rahaa hai jisako vo merii kahaanii hai
bahaaro.n ne jise chhe.Daa \threedots

qasam khaa kar kisii ko jab apanaa banaa_uu.Ngaa
chaman kii Daaliyo.n se laaliyaa.N phuulo.n kii laa_uu.Ngaa
sitaaro.n ke chiraaGo.n se phir is ghar ko sajaa_uu.Ngaa
ki is duniyaa me.n mujhako ik na_ii duniyaa basaanii hai
bahaaro.n ne jise chhe.Daa \threedots

chaman me.n sabane hii gaayaa taraanaa zindagaanii kaa
magar sabase alag thaa ra.ng merii hii kahaanii kaa
fasaanaa is qadar ra.ngiin thaa merii javaanii kaa
ki jisane bhii sunaa kahane lagaa merii kahaanii hai
bahaaro.n ne jise chhe.Daa \threedots

ko_ii samajhe naa samajhe mai.n kahe detaa huu.N duniyaa se
ki mai.n duniyaa me.n huu.N matalab nahii.n rakhataa huu.N duniyaa se
kabhii kuchh dil me.n aataa hai to kah detaa huu.N duniyaa se
merii aavaaz hii merii tamannaa kii nishaanii hai
bahaaro.n ne jise chhe.Daa \threedots
%",,,,,,
110,1426,"patthar ke sanam, tujhe hamane, muhabbat kaa khudaa jaanaa",,Patthar Ke Sanam,1967,Majrooh,Laxmikant-Pyarelal,Rafi,,"Manoj Kumar, Waheeda Rehman, Mumtaz",,,2024-12-06T23:25:26.470358+00:00,"%
patthar ke sanam, tujhe hamane, muhabbat kaa Kudaa jaanaa
ba.Dii bhuul huii, are hamane, ye kyaa samajhaa ye kyaa jaanaa

cheharaa teraa dil me.n liye, chalate chale a.ngaaro.n pe
tuu ho kahii.n, sajade kiye hamane tere ruKasaaro.n pe
ham saa na ho, koI diivaanaa, patthar ke \threedots

sochaa na thaa ba.Dh jaae.ngii, tanahaaiyaa.n jab raato.n kii
rastaa hame.n dikhalaae.ngii, shamaa\-e\-vafaa in aa.Nkho.n kii
Thokar lagii, phir pahachaanaa, patthar ke \threedots

ai kaash ke hotii Kabar tuune kise Thukaraayaa hai
shiishaa nahii.n, saagar nahii.n, ma.ndir\-saa ik dil Dhaayaa hai
saaraa aasamaan, hai viiraanaa, patthar ke \threedots
%",,,,,,
111,11467,kisii se merii priit lagii ab kyaa karuu.N,,Eight Days/ Aath Din/ 8 Days/ 8 Din,1946,G S Nepali,S D Burman,Meena Kapoor,,"Ashok Kumar, Veera, S L Puri",,"BOL ANAMOL #12254 [V S Rawat], 23/01/2004",2024-12-06T23:25:26.470358+00:00,"%
haay
kisii se merii priit lagii ab kyaa karuu.N \-2
ab kyaa karuu.N re ab kyaa karuu.N
kisii se merii priit lagii ab kyaa karuu.N

paas\-pa.Dos me.n
paas\-pa.Dos me.n baajaa baje re
dulahaa ke sa.ng na_ii dulahan saje re
mai.n to ba.Dii\-ba.Dii
mai.n ba.Dii\-ba.Dii aa.Nkho.n waalii dekhaa karuu.N

kisii se merii priit lagii ab kyaa karuu.N
ab kyaa karuu.N re ab kyaa karuu.N
kisii se merii priit lagii ab kyaa karuu.N

haay
kisii se merii priit lagii ab kyaa karuu.N

solah baras kii mai.n to
Kushabuu huu.N Kas kii mai.n to
baa.Nkii\-matawaalii mai.n to
pyaalii huu.N desii kii

cha.Dhatii umar nahii.n baat mere bas kii
jawaanii mere bas kii
nahii.n jii mere bas kii
haay more raamaa
akelii yahaa.N pa.Dii\-pa.Dii aahe.n bharuu.N

kisii se merii priit lagii ab kyaa karuu.N
ab kyaa karuu.N re ab kyaa karuu.N
kisii se merii priit lagii ab kyaa karuu.N

ab na rukuu.Ngii kiisii ke roke
piihar chaluu.Ngii mai.n piyaa kii ho ke
Doliyaa hile\-Dole
Doliyaa hile\-Dole mai.n to baiThii rahuu.N

kisii se merii priit lagii ab kyaa karuu.N
ab kyaa karuu.N re ab kyaa karuu.N
kisii se merii priit lagii ab kyaa karuu.N
%",,,,,,
112,12675,socho kyaa karogii bolo kyaa karogii ##darling##,,Love Ke Liye Kuch Bhi Karega,2001,Abbas Tyrewala,Vishal,"Asha, KayKay",,"Fardin Khan, Aftab Shivdasani, Saif Ali Khan, Sonali Bendre, Twinkle Khanna",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
socho kyaa karogii bolo kyaa karogii ##darling##
jab apane kadamo.n me.n hogaa saaraa jahaa.n
ho baadalo.n ko takiye saa karataa ye aasamaa.n
chaa.Nd pe jaanaa hai
##no, no## use yahaa.n laanaa hai
ja.ngalo.n me.n sher ko sher pa.Dh ke sunaanaa hai
hogaa jo bhii faramaa_ogii
socho kyaa karogii \threedots

jaisaa tum kahoge vaisaa hii karegii ##darling##
ai ##darling##

socho ke pa.nchhii hamaarii kahaanii hai.n gaate
are dekho parabat bhii raaho.n me.n hai.n sar jhukaate
bas ek khvaab duur har ek desh hai
amerikaa jaanaa hai
##no, no## vahaa.n zamaanaa hai
ruus kii barf se efariikaa sahalaanaa hai
hogaa jo bhii tum chaahogii
socho kyaa karogii \threedots

Duub Duubaa Daa Duu Duu Duu Duu Duubaa De
socho saahil pe saagar kii lahare.n bulaa_e.n
are dekho pe.Do.n kii shaakhe.n bhii jhuulaa jhulaa_e.n
is bauchhaar me.n har buu.nd hai terii
haa.n baarisho.n me.n nahaanaa hai
baarishe.n to bahaanaa hai
zi.ndagii nicho.D ke khushiyo.n me.n Duub jaanaa hai
kyaa tum bhii saath aa_ogii
na na na naa naa na aa naa naa naa naa ##darling##
socho kyaa karogii \threedots

jab apane kadamo.n me.n hogaa saaraa jahaa.n
baadal ho takiye saa gaddaa ye aasamaa.n
chaa.Nd pe jaanaa hai
##no, no## ja.ngalo.n me.n sher ko ko ko sher pa.Dh ke sunaanaa hai hai
hogaa jo bhii faramaa_ogii
%",,,,,,
113,2634,likhane vaale ne,,Badi Behan,,Rajinder Krishan,Husnlal-Bhagatram,Suraiyya,,,,K Vijay Kumar,2024-12-06T23:25:26.470358+00:00,"%

dil tere aane se pahale bhii yuu.Nhii barabaad thaa
aur yuu.N hii barabaad hai tere chale jaane ke baad

o likhane vaale ne
likhane vaale ne likh dii merii taqadiir me.n barabaadii

dil ko jab terii muhabbat kaa sahaaraa mil gayaa
mai.n ne samajhaa merii kashtii ko kinaaraa mil gayaa
haay qismat ko magar kuchh aur hii ma.nzuur thaa
aa.Nkh jab kholii to kashtii se kinaaraa duur thaa
likhane vaale ne   \threedots

chho.D kar duniyaa.N terii tujhako bhulaane ke liye
ham chale aaye yahaa.N aa.Nsuu bahaane ke liye
dil abhii bhuulaa na thaa tujhako ki qismat merii
khii.Nch kar laayii tujhe mujhako rulaane ke liye
likhane vaale ne   \threedots

%",,,,,,
